precinct_code,race_description,cand_name,cand_tot_votes,county_name
80712,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,352,CADDO
80715,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,36,CADDO
80715,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,81,CADDO
80810,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,63,CADDO
80810,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,170,CADDO
80811,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,100,CADDO
80811,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,238,CADDO
80812,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,78,CADDO
80812,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,172,CADDO
81009,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,73,CADDO
81009,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,211,CADDO
81010,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,117,CADDO
81010,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,309,CADDO
81011,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,73,CADDO
81011,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,240,CADDO
81013,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,65,CADDO
81013,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,245,CADDO
81111,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,232,CADDO
81111,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,685,CADDO
81213,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,85,CADDO
81213,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,234,CADDO
90100,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,310,CANADIAN
90100,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,537,CANADIAN
90102,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,67,CANADIAN
